day_post_inf,lifestage,number_parasites,strain,presence,temp,humidity,ref,vector_species,vector_strain,DTR,index_ref
8,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,7,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,5,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,2,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,1,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,2,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,7,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,4,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,2,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,1,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,1,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,2,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,1,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,3,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,2,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,3,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,5,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,2,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,2,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,7,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,2,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,0,NF54,0,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,2,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
8,cyst,4,NF54,1,27,85,Shapiro_L_Thomas,stephensi,laboratory_Penn_State,0,2
